ID Measure;Operator;Station;Serial;City;School;Room;Campaign;Sensor;Temperature(°C);Humidity(HR%);CO2(ppm);VAR1(Value);VAR2(Value);VAR3(Value);VAR4(Value);Comment;Date
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;22.7500;58.0000;596.0000;39.1260;39.5010;563.6020;563.1560;;02/09/2025 10:34:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.0000;53.0000;482.0000;207.1190;206.7810;561.5780;561.1410;;02/09/2025 10:44:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;23.7500;54.0000;478.0000;213.6450;215.6930;560.4920;559.9450;;02/09/2025 10:54:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;23.5000;53.0000;464.0000;215.5310;218.8010;559.9220;559.6410;;02/09/2025 11:04:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;23.5000;53.0000;476.0000;216.9690;220.6070;559.7500;559.4450;;02/09/2025 11:14:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;23.7500;53.0000;484.0000;217.8570;221.6250;559.6330;559.3750;;02/09/2025 11:24:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;23.7500;52.0000;476.0000;218.6620;222.3750;559.5080;559.1720;;02/09/2025 11:34:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;23.7500;52.0000;482.0000;219.0680;222.9320;559.3910;559.0080;;02/09/2025 11:44:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.0000;52.0000;513.0000;219.6310;223.2070;558.7660;558.5230;;02/09/2025 11:54:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;51.0000;502.0000;220.2320;224.5570;556.9140;556.4770;;02/09/2025 12:04:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;51.0000;495.0000;219.1820;223.1620;558.6090;558.2190;;02/09/2025 12:14:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;51.0000;496.0000;219.4820;223.7270;558.7030;558.3830;;02/09/2025 12:24:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;50.0000;499.0000;219.3690;223.8200;558.7660;558.5080;;02/09/2025 12:34:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;50.0000;477.0000;219.7500;224.0570;558.7660;558.5780;;02/09/2025 12:44:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;471.0000;220.1130;223.8830;558.7730;558.6330;;02/09/2025 12:54:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;490.0000;220.5880;224.1640;558.8590;558.6410;;02/09/2025 13:04:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;477.0000;220.7070;224.4770;558.8520;558.6410;;02/09/2025 13:14:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;467.0000;220.9120;224.8520;558.8050;558.6410;;02/09/2025 13:24:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;471.0000;221.2190;224.7440;558.8050;558.6410;;02/09/2025 13:34:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;463.0000;220.7700;224.7580;558.7810;558.6410;;02/09/2025 13:44:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;49.0000;486.0000;221.5940;224.9260;558.7660;558.6410;;02/09/2025 13:54:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;48.0000;447.0000;221.7250;225.0200;558.7660;558.6330;;02/09/2025 14:04:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.5000;48.0000;464.0000;221.4320;224.9570;558.7660;558.5390;;02/09/2025 14:14:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.5000;48.0000;461.0000;221.5940;224.9060;558.7660;558.5470;;02/09/2025 14:24:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.5000;49.0000;471.0000;222.2320;224.9000;558.7660;558.5230;;02/09/2025 14:34:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.5000;48.0000;479.0000;221.5760;224.7890;558.7660;558.5160;;02/09/2025 14:44:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.5000;48.0000;474.0000;221.6700;224.7890;558.7660;558.5230;;02/09/2025 14:54:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.5000;48.0000;468.0000;221.9690;224.9880;558.7660;558.6170;;02/09/2025 15:04:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;47.0000;462.0000;221.6450;225.0570;558.7730;558.6410;;02/09/2025 15:14:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;47.0000;471.0000;221.9200;224.7950;558.8360;558.6410;;02/09/2025 15:24:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;47.0000;458.0000;222.0060;224.9450;558.8910;558.6480;;02/09/2025 15:34:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;47.0000;458.0000;222.3440;224.9630;559.0080;558.6640;;02/09/2025 15:44:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.2500;48.0000;463.0000;222.2640;224.6500;559.0940;558.7190;;02/09/2025 15:54:25
52;Admin;Mini XT;6102001000592;Default city;Default building;592;2VEB - WZC Breugheldal;;24.0000;49.0000;462.0000;222.9510;224.7130;559.2730;558.8130;;02/09/2025 16:04:25
